well_id,well_name,field_name,start_date,end_date,status,total_depth_ft,avg_rop_ft_hr,mud_weight_ppg,bha_type,drilling_days
W-2023-001,Alpha-1,North Field,2023-01-05,2023-01-25,Completed,12500,45.2,10.2,PDC,20
W-2023-002,Beta-2,South Field,2023-02-10,2023-03-05,Completed,15000,38.7,11.5,Tricone,23
W-2023-003,Gamma-3,East Field,2023-03-15,2023-04-10,Completed,9800,52.3,9.8,PDC,26
W-2023-004,Delta-4,West Field,2023-04-20,2023-05-15,Completed,18200,32.1,12.3,Hybrid,25
W-2023-005,Epsilon-5,Central Field,2023-05-25,,In Progress,10500,41.8,10.5,PDC,15
W-2023-006,Zeta-6,North Field,2023-06-10,,In Progress,8200,75.4,9.5,PDC,12
W-2023-007,Eta-7,South Field,2023-01-15,2023-02-10,Completed,14300,36.9,11.8,Tricone,26
W-2023-008,Theta-8,East Field,2023-02-20,2023-03-15,Completed,11200,48.5,10.1,PDC,23
W-2023-009,Iota-9,West Field,2023-03-25,2023-04-20,Completed,16800,35.2,12.0,Hybrid,26
W-2023-010,Kappa-10,Central Field,2023-05-01,2023-05-25,Completed,13500,42.7,10.8,PDC,24
