core_id,well_id,formation,depth_start_ft,depth_end_ft,porosity_avg,permeability_md,water_saturation,oil_saturation,lithology
CORE-001,WELL-001,Eagle Ford,9200,9260,0.16,0.08,0.35,0.65,Shale
CORE-002,WELL-002,Permian,7500,7580,0.12,0.05,0.42,0.58,Limestone
CORE-003,WELL-003,Bakken,8800,8870,0.14,0.07,0.38,0.62,Shale
CORE-004,WELL-004,Eagle Ford,9800,9880,0.19,0.12,0.30,0.70,Shale
CORE-005,WELL-005,Marcellus,6900,6980,0.08,0.02,0.48,0.52,Shale
CORE-006,WELL-006,Permian,8100,8180,0.13,0.06,0.40,0.60,Dolomite
CORE-007,WELL-007,Bakken,9200,9280,0.15,0.09,0.36,0.64,Shale
CORE-008,WELL-008,Eagle Ford,10100,10180,0.17,0.10,0.32,0.68,Shale
CORE-009,WELL-009,Marcellus,7200,7280,0.09,0.03,0.45,0.55,Shale
CORE-010,WELL-010,Permian,8400,8480,0.14,0.07,0.38,0.62,Limestone
